arm,arm_label,first_endpoint_in_prompt,topics,n,first_endpoint_only_n,first_endpoint_only_pct,second_endpoint_only_n,second_endpoint_only_pct,left_n,left_pct,both_n,both_pct,right_n,right_pct,exclusive_net_left_pct,any_left_pct,any_right_pct,mean_words
word_limit_30,Replication of WaPo,left,18,90,66,73.3,9,10,66,73.3,15,16.7,9,10,63.3,90,26.7,25.8
word_limit_30,Replication of WaPo,right,12,60,0,0,53,88.3,53,88.3,7,11.7,0,0,88.3,100,11.7,25.1
no_word_limit,No Word Limit,left,18,90,44,48.9,3,3.3,44,48.9,43,47.8,3,3.3,45.6,96.7,51.1,302.8
no_word_limit,No Word Limit,right,12,60,1,1.7,49,81.7,49,81.7,10,16.7,1,1.7,80,98.3,18.3,283.8
blank_system,No System Prompt,left,18,90,13,14.4,3,3.3,13,14.4,74,82.2,3,3.3,11.1,96.7,85.6,294.5
blank_system,No System Prompt,right,12,60,0,0,38,63.3,38,63.3,22,36.7,0,0,63.3,100,36.7,195.2
