topic_set,source_arm,source_arm_label,question_numbers,expected_topics,available_question_numbers,missing_question_numbers,complete_topic_set,topics,n,left_n,left_pct,both_n,both_pct,right_n,right_pct,exclusive_net_left_pct,any_left_pct,any_right_pct,mean_words
threshold30,blank_system,"Original wording, no system prompt",1 3 6 7 8 9 10 13 14 15 16 17 18 19 24 25 26 27 30,19,1 3 6 7 8 9 10 13 14 15 16 17 18 19 24 25 26 27 30,,true,19,95,15,15.8,77,81.1,3,3.2,12.6,96.8,84.2,283.9
threshold40,blank_system,"Original wording, no system prompt",1 3 6 7 8 9 10 13 14 15 17 18 19 25 26 30,16,1 3 6 7 8 9 10 13 14 15 17 18 19 25 26 30,,true,16,80,14,17.5,63,78.8,3,3.8,13.8,96.3,82.5,292.4
threshold50,blank_system,"Original wording, no system prompt",1 3 6 7 8 9 10 13 17 18 19 25 26 30,14,1 3 6 7 8 9 10 13 17 18 19 25 26 30,,true,14,70,9,12.9,61,87.1,0,0,12.9,100,87.1,306.8
threshold30_without_explicit_proxies,blank_system,"Original wording, no system prompt",3 7 8 9 10 17 19 24 25 26 27,11,3 7 8 9 10 17 19 24 25 26 27,,true,11,55,6,10.9,49,89.1,0,0,10.9,100,89.1,269.9
