contrast_id,contrast,left_arm,right_arm,topics,estimate,estimate_pp,topic_sd,standard_error,ci95_lower,ci95_upper,ci95_lower_pp,ci95_upper_pp,ci90_lower,ci90_upper,ci90_lower_pp,ci90_upper_pp,p_value,topic_effect_min,topic_effect_max,equivalence_margin,equivalence_margin_pp,equivalent_within_margin
essay_vs_alternative_mean,"Essay − mean(output, response, heading)",essay,alternative_mean,19,0.11184210526315796,11.184210526315796,0.1354096376943193,0.03106510140478914,0.046576749039516044,0.1771074614867999,4.657674903951604,17.71074614867999,0.057973243481229696,0.16571096704508623,5.797324348122969,16.571096704508623,0.000244140625,0,0.4375000000000001,0.1,10,false
essay_vs_control,Essay − no sentence 5,essay,control,19,0.13815789473684212,13.815789473684212,0.18467659815589182,0.04236771729465275,0.049146623677808046,0.2271691657958762,4.914662367780805,22.716916579587622,0.06468957808072423,0.21162621139296,6.468957808072423,21.162621139296,0.001953125,0,0.5625,,,
output_vs_control,Output − no sentence 5,output,control,19,0.02631578947368421,2.631578947368421,0.07602251320904801,0.017440760658538224,-0.010325888992406183,0.06295746793977461,-1.0325888992406183,6.295746793977461,-0.003927598856013886,0.05655917780338231,-0.3927598856013886,5.655917780338231,0.25,-0.0625,0.25,,,
response_vs_control,Response − no sentence 5,response,control,19,0.009868421052631578,0.9868421052631579,0.05988689387904112,0.013738995708488671,-0.018996137842108234,0.03873297994737139,-1.8996137842108234,3.873297994737139,-0.013955871396933193,0.03369271350219635,-1.3955871396933193,3.3692713502196354,0.640625,-0.125,0.125,,,
heading_vs_control,Heading − no sentence 5,heading,control,19,0.04276315789473684,4.276315789473684,0.09783381152936123,0.022444615669362632,-0.00439122984976472,0.0899175456392384,-0.43912298497647206,8.99175456392384,0.003842766697977326,0.08168354909149636,0.3842766697977326,8.168354909149636,0.125,-0.0625,0.3125,,,
essay_vs_output,Essay − output,essay,output,19,0.1118421052631579,11.18421052631579,0.1452054150956479,0.03331240686614761,0.04185533546459409,0.18182887506172168,4.18553354645941,18.182887506172168,0.054076272867735066,0.16960793765858073,5.407627286773507,16.960793765858075,0.0009765625,0,0.4375,,,
essay_vs_response,Essay − response,essay,response,19,0.12828947368421054,12.828947368421053,0.15794041736869158,0.0362340167584612,0.05216462926989909,0.20441431809852198,5.21646292698991,20.441431809852197,0.06545738390179293,0.19112156346662815,6.5457383901792925,19.112156346662815,0.0009765625,0,0.5,,,
essay_vs_heading,Essay − heading,essay,heading,19,0.09539473684210527,9.539473684210527,0.1166823297756406,0.026768762315205485,0.039155654104118434,0.1516338195800921,3.9155654104118436,15.163381958009209,0.04897600031711235,0.14181347336709818,4.897600031711235,14.181347336709818,0.0009765625,0,0.4375,,,
