contrast_id,contrast,left_arm,right_arm,unit,topics,estimate,topic_sd,standard_error,ci95_lower,ci95_upper,ci90_lower,ci90_upper,p_value,topic_effect_min,topic_effect_max
essay_vs_alternative_mean,"Essay − mean(output, response, heading)",essay,alternative_mean,words,19,48.533991228070185,17.10550194765099,3.924271282544675,40.28940319868742,56.778579257452954,41.72905521451513,55.33892724162524,0.000003814697265625,26.6875,93.58333333333337
essay_vs_control,Essay − no sentence 5,essay,control,words,19,53.13157894736842,20.622894407849497,4.7312164551118965,43.19166201967313,63.071495875063704,44.927348677528826,61.33580921720801,0.000003814697265625,16.6875,99.875
output_vs_control,Output − no sentence 5,output,control,words,19,4.944078947368421,8.773279912551326,2.01272844958982,0.7154933866051518,9.17266450813169,1.4538797929309681,8.434278101805875,0.026458740234375,-16.9375,16.8125
response_vs_control,Response − no sentence 5,response,control,words,19,6.667763157894737,9.411919264021348,2.159242365085935,2.1313632828636786,11.204163032925795,2.9234995547324334,10.41202676105704,0.0071868896484375,-13.5,22.75
heading_vs_control,Heading − no sentence 5,heading,control,words,19,2.1809210526315788,9.765632383038145,2.240389719864819,-2.5259630885616895,6.887805193824847,-1.7040572252260695,6.065899330489227,0.3429756164550781,-13.6875,21.8125
