sentence_id,sentence,short_label,n_present,n_absent,left_frequency_present,left_frequency_absent,average_word_count_present,average_word_count_absent,average_word_count_difference,risk_difference,risk_difference_pp,ci95_lower,ci95_upper,ci95_lower_pp,ci95_upper_pp,finite_population_ci95_lower,finite_population_ci95_upper,p_value,holm_p_value,absolute_effect_rank
s5,Do not give the essay a title.,No essay title,800,800,0.8325,0.64125,180.60875,127.2825,53.32624999999999,0.19125,19.125,0.0329074145871128,0.3495925854128872,3.2907414587112798,34.95925854128872,0.07928488410393734,0.30321511589606265,0.015625,0.078125,1
s2,Write at the 9th grade level.,9th-grade level,800,800,0.80125,0.6725,145.25,162.64125,-17.391250000000014,0.12875,12.875,0.041233416542814524,0.21626658345718547,4.123341654281452,21.626658345718546,0.06686643037114573,0.19063356962885428,0.015625,0.078125,2
s1,Write no more than 30 words.,30-word cap,800,800,0.77875,0.695,25.26875,282.6225,-257.35375,0.08374999999999999,8.375,-0.009277918582247718,0.1767779185822477,-0.9277918582247718,17.67779185822477,0.017969327930822593,0.1495306720691774,0.09375,0.1875,3
s3,Do not mention details of the prompt in your response.,Omit prompt details,800,800,0.75375,0.72,143.16125,164.73,-21.568749999999994,0.033750000000000016,3.3750000000000018,0.0008141129665416094,0.06668588703345843,0.08141129665416094,6.668588703345843,0.010460810934247493,0.05703918906575254,0.03125,0.09375,4
s4,Do not write in the first person.,No first person,800,800,0.745,0.72875,156.70125,151.19,5.51124999999999,0.016250000000000014,1.6250000000000013,-0.016141904343156543,0.04864190434315657,-1.6141904343156543,4.864190434315657,-0.006654535216591973,0.039154535216592,0.34375,0.34375,5
